LocalDateTime,DateTime,hour,minute,BA_total,wind_check,lower_wind,upper_wind,quantile,variance,extracted_hour
2019-02-12T08:25:00.0,2019-02-12T12:25:00.0,12,25,1502.55786186,1.0,1036.5493975787408,1799.1384959,0.5900231573502952,33608.692106500734,8
2019-02-12T08:30:00.0,2019-02-12T12:30:00.0,12,30,1506.55254539,1.0,972.4250659122756,1799.1384959,0.5994679149839526,42195.25182969216,8
2019-02-12T08:35:00.0,2019-02-12T12:35:00.0,12,35,1491.3057114,1.0,972.4250659122756,1799.1384959,0.570784129628851,42195.25182969216,8
2019-02-12T08:40:00.0,2019-02-12T12:40:00.0,12,40,1485.94487665,1.0,972.4250659122756,1799.1384959,0.5606015970810883,42195.25182969216,8
2019-02-12T08:45:00.0,2019-02-12T12:45:00.0,12,45,1479.74760103,1.0,1168.7378084025167,1776.247223735079,0.5221541799976268,17769.03087173216,8
2019-02-12T08:50:00.0,2019-02-12T12:50:00.0,12,50,1467.9328768999999,1.0,1168.7378084025167,1776.247223735079,0.48607261191184864,17769.03087173216,8
2019-02-12T08:55:00.0,2019-02-12T12:55:00.0,12,55,1467.4175293399999,1.0,1168.7378084025167,1776.247223735079,0.48449919656231766,17769.03087173216,8
2019-02-12T09:00:00.0,2019-02-12T13:00:00.0,13,0,1467.4116723,1.0,1018.4094550360538,1799.1384959,0.3955578828803189,42246.735835886095,9
2019-02-12T09:05:00.0,2019-02-12T13:05:00.0,13,5,1467.4744759,1.0,1018.4094550360538,1799.1384959,0.3956689044866639,42246.735835886095,9
2019-02-12T09:10:00.0,2019-02-12T13:10:00.0,13,10,1456.29782416,1.0,1018.4094550360538,1799.1384959,0.37604537100647917,42246.735835886095,9
2019-02-12T09:15:00.0,2019-02-12T13:15:00.0,13,15,1451.4824754,1.0,934.9645514007242,1799.1384959,0.37709649850069316,53932.351212201174,9
2019-02-12T09:20:00.0,2019-02-12T13:20:00.0,13,20,1451.58723927,1.0,934.9645514007242,1799.1384959,0.3772513312809819,53932.351212201174,9
2019-02-12T09:25:00.0,2019-02-12T13:25:00.0,13,25,1451.23635416,1.0,934.9645514007242,1799.1384959,0.3767327506181707,53932.351212201174,9
2019-02-12T09:30:00.0,2019-02-12T13:30:00.0,13,30,1451.4465161,1.0,925.3355290046513,1799.1384959,0.3753050150276051,55392.427099914756,9
2019-02-12T09:35:00.0,2019-02-12T13:35:00.0,13,35,1452.5190047,1.0,925.3355290046513,1799.1384959,0.3768575153150643,55392.427099914756,9
2019-02-12T09:40:00.0,2019-02-12T13:40:00.0,13,40,1451.7830466999999,1.0,925.3355290046513,1799.1384959,0.3757921659896186,55392.427099914756,9
2019-02-12T09:45:00.0,2019-02-12T13:45:00.0,13,45,1455.69531235,1.0,914.2641932535016,1799.1384959,0.3732801924451854,57245.156345911324,9
2019-02-12T09:50:00.0,2019-02-12T13:50:00.0,13,50,1460.18398995,1.0,914.2641932535016,1799.1384959,0.37957721684623064,57245.156345911324,9
2019-02-12T09:55:00.0,2019-02-12T13:55:00.0,13,55,1464.8287614,1.0,914.2641932535016,1799.1384959,0.3861423179956382,57245.156345911324,9
2019-02-12T10:00:00.0,2019-02-12T14:00:00.0,14,0,1466.41513097,1.0,1088.5155817296165,1799.1384959,0.5563794322195125,24418.69379113335,10
2019-02-12T10:05:00.0,2019-02-12T14:05:00.0,14,5,1471.70709553,1.0,1088.5155817296165,1799.1384959,0.5699981411831366,24418.69379113335,10
2019-02-12T10:10:00.0,2019-02-12T14:10:00.0,14,10,1477.1989388,1.0,1088.5155817296165,1799.1384959,0.5840327206317375,24418.69379113335,10
2019-02-12T10:15:00.0,2019-02-12T14:15:00.0,14,15,1483.3533963,1.0,994.5058186391271,1799.1384959,0.5912966053863982,37025.41670241812,10
2019-02-12T10:20:00.0,2019-02-12T14:20:00.0,14,20,1490.22892165,1.0,994.5058186391271,1799.1384959,0.6052019015023882,37025.41670241812,10
2019-02-12T10:25:00.0,2019-02-12T14:25:00.0,14,25,1496.9351944,1.0,994.5058186391271,1799.1384959,0.6186462003518315,37025.41670241812,10
2019-02-12T10:30:00.0,2019-02-12T14:30:00.0,14,30,1494.09816336,1.0,884.6092970805746,1799.1384959,0.6173052502638253,52522.95650035981,10
2019-02-12T10:35:00.0,2019-02-12T14:35:00.0,14,35,1497.71757403,1.0,884.6092970805746,1799.1384959,0.623237131065233,52522.95650035981,10
2019-02-12T10:40:00.0,2019-02-12T14:40:00.0,14,40,1500.6744684,1.0,884.6092970805746,1799.1384959,0.6280656114245461,52522.95650035981,10
