2018-07-18T00:00:00,2018-07-18T01:00:00,2018-07-18T02:00:00,2018-07-18T03:00:00,2018-07-18T04:00:00,2018-07-18T05:00:00,2018-07-18T06:00:00,2018-07-18T07:00:00,2018-07-18T08:00:00,2018-07-18T09:00:00,2018-07-18T10:00:00,2018-07-18T11:00:00,2018-07-18T12:00:00,2018-07-18T13:00:00,2018-07-18T14:00:00,2018-07-18T15:00:00,2018-07-18T16:00:00,2018-07-18T17:00:00,2018-07-18T18:00:00,2018-07-18T19:00:00,2018-07-18T20:00:00,2018-07-18T21:00:00,2018-07-18T22:00:00,2018-07-18T23:00:00,2018-07-19T00:00:00,2018-07-19T01:00:00,2018-07-19T02:00:00,2018-07-19T03:00:00,2018-07-19T04:00:00,2018-07-19T05:00:00,2018-07-19T06:00:00,2018-07-19T07:00:00,2018-07-19T08:00:00,2018-07-19T09:00:00,2018-07-19T10:00:00,2018-07-19T11:00:00,2018-07-19T12:00:00,2018-07-19T13:00:00,2018-07-19T14:00:00,2018-07-19T15:00:00,2018-07-19T16:00:00,2018-07-19T17:00:00,2018-07-19T18:00:00,2018-07-19T19:00:00,2018-07-19T20:00:00,2018-07-19T21:00:00,2018-07-19T22:00:00,2018-07-19T23:00:00
42971.773,41159.43,40622.2,43345.73,44728.73,46522.242,49313.22,52529.703,55916.066,60598.28,63427.438,66107.164,64572.746,66181.516,65831.02,63995.816,62848.074,61518.223,59218.742,56517.47,54090.5,51576.38,48501.805,45797.688,43756.53,42166.656,41172.92,43141.234,41849.7,43412.125,47043.473,51988.133,54550.29,55328.43,58264.49,61772.445,65618.37,65279.117,65013.285,65052.773,63912.56,62199.81,59474.18,57236.047,54520.734,50275.934,47049.31,44792.04
43099.98,41288.11,40750.746,43458.613,44847.01,46631.203,49433.652,52646.17,56033.426,60705.6,63534.39,66200.81,64700.28,66309.055,65950.555,64121.445,62975.9,61642.516,59346.254,56638.12,54216.6,51703.574,48629.805,45924.36,43884.81,42294.258,41301.953,43265.496,41977.35,43539.96,47170.746,52109.387,54680.16,55455.668,58392.824,61900.504,65742.58,65408.37,65142.156,65180.227,64040.703,62328.5,59602.53,57362.81,54649.137,50403.656,47177.26,44918.953
43226.133,41414.727,40877.234,43569.684,44963.395,46738.42,49552.156,52760.77,56148.9,60811.203,63639.625,66292.97,64825.773,66434.555,66068.17,64245.06,63101.676,61764.812,59471.723,56756.84,54340.68,51828.73,48755.754,46049.004,44011.03,42419.812,41428.91,43387.76,42102.957,43665.746,47295.977,52228.7,54807.953,55580.863,58519.1,62026.504,65864.8,65535.547,65268.96,65305.637,64166.79,62455.133,59728.82,57487.535,54775.484,50529.33,47303.164,45043.83
43350.395,41539.45,41001.824,43679.094,45078.03,46844.03,49668.883,52873.652,56262.645,60915.223,63743.29,66383.74,64949.383,66558.164,66184.03,64366.824,63225.566,61885.28,59595.31,56873.777,54462.902,51952.008,48879.816,46171.777,44135.36,42543.49,41553.965,43508.2,42226.68,43789.645,47419.332,52346.223,54933.83,55704.184,58643.49,62150.62,65985.19,65660.82,65393.867,65429.17,64290.99,62579.863,59853.223,57610.4,54899.938,50653.117,47427.176,45166.832
43472.92,41662.426,41124.68,43786.973,45191.07,46948.168,49783.98,52984.96,56374.805,61017.79,63845.504,66473.24,65071.266,66680.055,66298.266,64486.887,63347.73,62004.066,59717.17,56989.086,54583.418,52073.57,49002.145,46292.84,44257.953,42665.438,41677.277,43626.953,42348.676,43911.812,47540.965,52462.1,55057.945,55825.785,58766.14,62273.004,66103.9,65784.34,65517.027,65550.98,64413.453,62702.855,59975.883,57731.543,55022.652,50775.184,47549.46,45288.12
43593.86,41783.81,41245.934,43893.453,45302.64,47050.95,49897.582,53094.82,56485.504,61119.02,63946.39,66561.586,65191.566,66800.36,66411.02,64605.387,63468.305,62121.31,59837.45,57102.895,54702.363,52193.547,49122.887,46412.33,44378.953,42785.8,41798.984,43744.164,42469.09,44032.395,47661.016,52576.48,55180.453,55945.805,58887.195,62393.797,66221.06,65906.266,65638.586,65671.2,64534.33,62824.25,60096.953,57851.113,55143.773,50895.656,47670.156,45407.836
43713.332,41903.723,41365.727,43998.645,45412.863,47152.492,50009.812,53203.355,56594.867,61219.03,64046.055,66648.86,65310.414,66919.21,66522.414,64722.46,63587.42,62237.133,59956.273,57215.33,54819.875,52312.08,49242.168,46530.37,44498.492,42904.71,41919.223,43859.96,42588.047,44151.52,47779.617,52689.473,55301.477,56064.37,59006.79,62513.13,66336.81,66026.71,65758.68,65789.98,64653.74,62944.176,60216.56,57969.242,55263.434,51014.68,47789.39,45526.1
43831.47,42022.297,41484.176,44102.66,45521.85,47252.895,50120.785,53310.67,56703.004,61317.92,64144.61,66735.16,65427.93,67036.734,66632.555,64838.22,63705.207,62351.66,60073.77,57326.504,54936.07,52429.28,49360.113,46647.098,44616.695,43022.29,42038.117,43974.457,42705.668,44269.312,47896.89,52801.203,55421.15,56181.613,59125.043,62631.13,66451.266,66145.805,65877.43,65907.414,64771.816,63062.758,60334.83,58086.047,55381.75,51132.367,47907.293,45643.043
43948.383,42139.64,41601.402,44205.598,45629.71,47352.258,50230.61,53416.88,56810.023,61415.785,64242.137,66820.56,65544.23,67153.04,66741.555,64952.78,63821.77,62465.004,60190.047,57436.527,55051.062,52545.273,49476.84,46762.61,44733.67,43138.65,42155.777,44087.77,42822.08,44385.887,48012.953,52911.777,55539.58,56297.64,59242.074,62747.902,66564.54,66263.67,65994.945,66023.64,64888.668,63180.117,60451.87,58201.64,55498.844,51248.836,48023.973,45758.773
44064.18,42255.867,41717.508,44307.55,45736.54,47450.676,50339.383,53522.07,56916.023,61512.72,64338.74,66905.15,65659.42,67268.234,66849.52,65066.25,63937.223,62577.26,60305.22,57545.5,55164.96,52660.156,49592.45,46877.023,44849.535,43253.9,42272.316,44200.004,42937.37,44501.344,48127.902,53021.293,55656.883,56412.562,59357.99,62863.566,66676.73,66380.414,66111.34,66138.76,65004.41,63296.35,60567.797,58316.133,55614.82,51364.195,48139.54,45873.402
44178.965,42371.074,41832.598,44408.617,45842.438,47548.23,50447.207,53626.344,57021.094,61608.805,64434.496,66989.0,65773.6,67382.414,66956.54,65178.727,64051.668,62688.543,60419.38,57653.523,55277.86,52774.03,49707.05,46990.434,44964.38,43368.14,42387.832,44311.254,43051.66,44615.793,48241.85,53129.85,55773.156,56526.477,59472.887,62978.215,66787.94,66496.13,66226.73,66252.875,65119.133,63411.57,60682.707,58429.62,55729.78,51478.543,48254.098,45987.023
44292.832,42485.36,41946.766,44508.87,45947.484,47645.008,50554.17,53729.785,57125.324,61704.12,64529.484,67072.18,65886.87,67495.69,67062.7,65290.305,64165.195,62798.93,60532.63,57760.68,55389.855,52887.0,49820.734,47102.938,45078.31,43481.47,42502.43,44421.613,43165.035,44729.33,48354.887,53237.543,55888.504,56639.48,59586.867,63091.95,66898.25,66610.92,66341.18,66366.07,65232.945,63525.87,60796.7,58542.207,55843.824,51591.98,48367.74,46099.742
44405.875,42598.816,42060.105,44608.4,46051.773,47741.082,50660.355,53832.473,57228.797,61798.746,64623.785,67154.75,65999.32,67608.14,67168.09,65401.07,64277.9,62908.52,60645.055,57867.06,55501.04,52999.15,49933.59,47214.63,45191.41,43593.977,42616.19,44531.176,43277.586,44842.04,48467.1,53344.453,56003.01,56751.668,59700.02,63204.855,67007.77,66724.88,66454.805,66478.445,65345.926,63639.34,60909.867,58653.973,55957.04,51704.59,48480.555,46211.64
44518.176,42711.535,42172.707,44707.277,46155.38,47836.527,50765.848,53934.492,57331.594,61892.75,64717.47,67236.79,66111.03,67719.86,67272.8,65511.113,64389.863,63017.39,60756.746,57972.742,55611.496,53110.562,50045.71,47325.586,45303.773,43705.746,42729.21,44640.02,43389.4,44954.016,48578.582,53450.664,56116.77,56863.117,59812.434,63317.027,67116.57,66838.1,66567.69,66590.086,65458.17,63752.066,61022.293,58765.008,56069.516,51816.47,48592.633,46322.805
44629.824,42823.594,42284.65,44805.58,46258.38,47931.414,50870.723,54035.914,57433.793,61986.21,64810.605,67318.34,66222.09,67830.92,67376.89,65620.516,64501.176,63125.625,60867.785,58077.81,55721.31,53221.33,50157.18,47435.895,45415.48,43816.867,42841.574,44748.227,43500.562,45065.336,48689.414,53556.258,56229.867,56973.918,59924.19,63428.54,67224.74,66950.66,66679.914,66701.08,65569.76,63864.137,61134.062,58875.395,56181.332,51927.688,48704.055,46433.324
44740.895,42935.074,42396.016,44903.37,46360.848,48025.812,50975.06,54136.812,57535.465,62079.184,64903.26,67399.48,66332.58,67941.414,67480.445,65729.35,64611.918,63233.305,60978.254,58182.336,55830.555,53331.52,50268.07,47545.637,45526.613,43927.41,42953.35,44855.88,43611.152,45176.082,48799.676,53661.305,56342.38,57084.15,60035.375,63539.48,67332.35,67062.625,66791.56,66811.5,65680.77,63975.63,61245.254,58985.215,56292.574,52038.34,48814.906,46543.27
