2018-07-18T00:00:00,2018-07-18T01:00:00,2018-07-18T02:00:00,2018-07-18T03:00:00,2018-07-18T04:00:00,2018-07-18T05:00:00,2018-07-18T06:00:00,2018-07-18T07:00:00,2018-07-18T08:00:00,2018-07-18T09:00:00,2018-07-18T10:00:00,2018-07-18T11:00:00,2018-07-18T12:00:00,2018-07-18T13:00:00,2018-07-18T14:00:00,2018-07-18T15:00:00,2018-07-18T16:00:00,2018-07-18T17:00:00,2018-07-18T18:00:00,2018-07-18T19:00:00,2018-07-18T20:00:00,2018-07-18T21:00:00,2018-07-18T22:00:00,2018-07-18T23:00:00,2018-07-19T00:00:00,2018-07-19T01:00:00,2018-07-19T02:00:00,2018-07-19T03:00:00,2018-07-19T04:00:00,2018-07-19T05:00:00,2018-07-19T06:00:00,2018-07-19T07:00:00,2018-07-19T08:00:00,2018-07-19T09:00:00,2018-07-19T10:00:00,2018-07-19T11:00:00,2018-07-19T12:00:00,2018-07-19T13:00:00,2018-07-19T14:00:00,2018-07-19T15:00:00,2018-07-19T16:00:00,2018-07-19T17:00:00,2018-07-19T18:00:00,2018-07-19T19:00:00,2018-07-19T20:00:00,2018-07-19T21:00:00,2018-07-19T22:00:00,2018-07-19T23:00:00
8450.452786,7771.98328,8171.869093,7616.994019,6789.881325,7569.511442,7231.737071,5050.310617,3238.668182,2613.855093,1519.596378,956.5206966,851.0817481,805.0397772,748.1796363,922.1663383,1122.025397,1477.323694,1671.468778,3183.861639,4801.855219,6417.263578,8602.942823,8125.102984,8587.954034,7817.400497,8854.401408,8417.737076,7365.923979,7270.357527,6683.749015,4420.512515,3898.734355,2894.558394,1750.173464,1437.993529,1215.975589,1218.348403,1518.916084,1911.988509,2137.786609,2001.117314,3150.946469,4439.272976,7522.982615,7951.430737,8797.041969,8898.955953
8628.916845,7785.076744,8329.827515,7628.94956,6974.092118,7746.673507,7333.271857,5053.999861,3279.917524,2730.820499,1543.28483,963.8890407,863.2898199,810.2092651,753.3106966,942.4212596,1148.380165,1482.120831,1687.37534,3218.881807,4930.031899,6445.81574,8639.986949,8212.532771,8609.031605,7861.106081,8860.768066,8457.161844,7599.308142,7305.62386,6836.746339,4533.125217,3946.032309,2938.629931,1829.829336,1457.462887,1221.081065,1250.559187,1525.696049,1953.55907,2144.920318,2025.359955,3171.404938,4461.045388,7546.443348,8057.569672,8839.316652,9068.853074
8745.024415,7972.434271,8409.277791,7731.480555,7069.676323,7788.989212,7405.722303,5193.873939,3302.71842,2749.179674,1546.715936,1050.909223,941.4262816,821.2294591,774.5522328,948.932955,1149.012907,1490.196963,1700.309136,3243.374203,4940.653653,6596.675174,8671.988388,8364.291641,8853.048586,7874.9563,8904.91807,8508.742296,7808.405835,7370.391733,6964.081366,4624.565695,3955.07935,2939.327983,1859.25996,1664.386801,1272.269492,1345.611788,1628.47123,2055.686126,2146.682397,2037.521281,3201.155582,4486.760402,7554.447539,8514.793483,8890.696578,9306.405608
8779.354567,8044.779518,8432.248525,7755.737518,7366.556242,7893.303747,7422.577882,5248.931643,3313.291732,2785.118996,1634.535192,1264.979373,954.241787,851.3578823,789.701775,955.2546457,1151.869462,1506.654933,1708.198784,3378.087214,4942.662228,6741.007839,8725.10521,8848.3912,9002.725,8021.520642,9040.704584,8518.290517,7903.371739,7472.463567,7139.967432,4667.267362,3960.296303,2984.10495,1891.728324,1713.289654,1355.949151,1349.675745,1692.623196,2102.214135,2178.733441,2077.160825,3264.094508,4495.161616,7650.592179,8610.665085,8939.392893,9490.167588
8957.806557,8084.261917,8504.325959,7920.10405,7404.389037,8044.201972,7434.537082,5253.022018,3359.57318,2830.652691,1657.423395,1301.176679,955.4071068,852.397538,856.5261844,963.2251984,1157.567002,1522.658907,1776.255909,3385.934991,4965.616686,6859.355647,8740.038229,8997.127239,9092.192093,8043.739968,9533.94421,8625.992466,8258.091142,7523.841753,7261.933435,4721.972612,4102.517772,3014.665322,1939.238527,1742.081468,1398.851143,1357.550088,1703.562939,2153.47799,2186.185513,2150.858668,3365.583347,4524.260682,7654.090476,8749.781564,9082.714214,9733.850343
9036.994089,8163.64091,8654.480634,7936.799857,7528.487585,8107.999318,7457.904765,5373.139686,3595.898031,2935.594348,1661.601395,1319.302464,963.8527244,874.5015689,871.5610712,979.8526894,1200.799204,1544.89701,1816.100303,3486.133691,4996.388735,7071.298443,8937.745837,9006.6148,9192.879526,8487.09341,9596.231591,8661.877186,8324.242503,7640.680237,7278.536333,4727.819914,4122.32813,3136.88393,2037.113255,1744.129208,1475.658026,1395.61469,1749.297674,2157.406605,2302.910554,2164.505277,3449.267424,4565.05659,7689.465703,8815.29285,9145.883891,9895.698435
9105.987948,8231.861161,8745.525667,8154.162023,7549.572004,8127.320432,7583.648057,5441.338898,3619.777351,2940.961567,1708.661569,1320.450842,985.2678284,877.6201253,897.4115732,981.2436774,1252.257583,1555.105649,1830.672265,3497.20615,5317.137934,7168.502689,8992.521641,9232.824915,9218.515667,8782.925073,9600.061465,8751.658811,8390.097005,7965.697967,7404.356572,5254.127602,4142.115421,3275.892606,2054.884092,1822.890734,1498.843161,1408.251608,1774.3627,2164.18937,2305.212557,2187.039387,3466.9376,4707.193295,7805.864145,8992.277527,9234.290915,9928.779096
9110.584319,8359.604622,8836.654528,8214.342303,7599.101433,8269.985143,7587.539802,5726.534746,3722.077474,2998.711567,1720.747189,1334.768626,1121.942477,925.9375516,906.6638602,986.6254058,1268.69121,1566.086221,1838.078322,3566.266279,5322.805073,7252.676855,9480.52048,9493.06295,9519.365316,8917.294962,9605.662842,8880.278707,8416.445675,8079.680219,7418.11825,5509.474478,4189.537778,3290.693334,2087.998615,1970.107291,1504.469894,1414.271393,1817.124654,2223.159951,2333.917504,2190.211173,3505.709282,4750.351025,7829.513014,9110.678047,9449.067489,10860.37684
9161.329794,8389.496686,8992.444706,8410.858205,7691.602894,8324.94615,7665.960384,5893.267959,3782.352126,3004.164479,1809.328087,1385.332889,1129.768824,966.9062343,941.2778199,1004.451264,1290.14468,1570.418292,1840.387667,3597.682788,5385.172214,7434.588209,9526.0478,9493.45393,9666.848676,9090.693093,9904.661985,9124.529619,8568.409108,8150.83317,8093.720009,5817.16351,4257.311574,3452.529607,2185.992197,2053.7609,1505.130204,1447.510202,1822.311154,2229.709113,2344.736993,2195.86047,3509.943228,4760.24759,7885.309622,9112.681615,9507.628639,11033.58688
9180.631733,8418.25023,9075.139366,8414.571364,7822.892076,8361.504272,7702.359621,5897.915826,3825.419105,3026.510988,1824.462908,1394.581454,1135.136078,982.2265035,961.6883566,1011.284427,1294.811469,1591.246973,1850.99093,3649.975248,5451.277834,7642.778388,9556.309559,9494.146116,9775.5932,9246.595172,9907.04326,9224.31145,8715.537436,8225.857582,8179.106386,5885.610618,4262.937925,3634.438408,2331.942004,2065.324373,1548.745196,1448.060927,1849.966892,2260.976356,2356.320919,2226.657,3558.376607,4915.677695,8072.339735,9120.239936,9593.492229,11105.44542
